The article deals with a situation on the West Coast of the USA;t
The main topic of the article is the excessive price of digital art;f
Cryptocurrencies are “mined“ in places where the internet connection is excellent;f
Mining cryptocurrency pollutes a lot;t
Most artists are aware of the environmental damage of NFTs;f
Creating the NFT has no impact on the environment, it’s only selling or buyng it that has.;f
This issue is not specific to the art world;t
International authorities can very easily solve the problem.;f
Investments made by professional miners make it very hard to change anything;t
People are hopeful that cryptocurrencies will become greener very soon;f
